iter	RMSE
0	72620.43777
1	68174.04224
2	64497.32385
3	60707.28905
4	57866.25138
5	55024.09413
6	52401.01063
7	49930.56214
8	47838.72852
9	45751.05967
10	43895.79532
11	42121.6887
12	40532.09235
13	38931.54234
14	37410.8485
15	36110.4453
16	35080.38951
17	34078.9007
18	33311.04942
19	32532.02753
20	31628.00981
21	30765.17801
22	30124.18902
23	29471.39306
24	28892.74505
25	28224.59089
26	27698.51172
27	27263.41803
28	26823.82497
29	26245.88668
30	25750.18469
31	25308.6893
32	24907.06038
33	24657.57607
34	24323.40842
35	24068.47649
36	23640.44548
37	23302.30055
38	23047.98166
39	22743.01579
40	22502.72964
41	22318.22222
42	22057.9688
43	21829.21833
44	21613.38067
45	21354.85146
46	21193.00216
47	20964.33011
48	20770.03184
49	20603.16057
50	20302.64002
51	20222.98147
52	20108.10072
53	19941.40996
54	19825.41475
55	19731.7505
56	19540.26331
57	19361.81058
58	19278.44101
59	19106.53249
60	19039.20832
61	18941.68538
62	18837.27404
63	18802.59568
64	18688.73131
65	18538.78906
66	18495.11896
67	18407.9595
68	18284.30676
69	18205.06282
70	18089.5576
71	17967.96617
72	17919.42496
73	17870.82235
74	17772.89938
75	17651.19563
76	17554.12454
77	17434.3093
78	17393.56516
79	17340.62254
80	17264.21243
81	17154.56075
82	17097.22699
83	17069.10333
84	16979.50534
85	16859.53053
86	16813.05996
87	16704.78044
88	16601.13971
89	16576.67663
90	16552.98485
91	16463.80805
92	16378.50608
93	16285.33328
94	16218.50171
95	16140.28443
96	16109.21594
97	15990.56324
98	15884.98341
99	15785.57582
