iter	Passed	Remaining
0	7	770
1	15	740
2	21	708
3	26	631
4	31	592
5	35	554
6	39	521
7	43	496
8	47	477
9	51	460
10	55	446
11	59	432
12	62	417
13	65	403
14	68	390
15	71	377
16	74	364
17	77	351
18	79	339
19	81	327
20	84	317
21	86	307
22	89	298
23	91	289
24	93	281
25	96	273
26	98	266
27	100	259
28	103	252
29	105	246
30	107	240
31	110	234
32	112	228
33	114	222
34	117	217
35	119	212
36	121	207
37	123	202
38	126	197
39	128	192
40	130	188
41	133	184
42	135	179
43	138	175
44	140	171
45	142	167
46	145	163
47	147	159
48	149	155
49	151	151
50	154	148
51	156	144
52	158	140
53	161	137
54	163	133
55	165	130
56	168	126
57	170	123
58	172	120
59	175	116
60	177	113
61	179	110
62	182	106
63	184	103
64	186	100
65	188	97
66	191	94
67	193	91
68	196	88
69	197	84
70	200	81
71	202	78
72	204	75
73	206	72
74	209	69
75	211	66
76	213	63
77	216	60
78	218	58
79	220	55
80	223	52
81	225	49
82	227	46
83	229	43
84	232	40
85	234	38
86	236	35
87	238	32
88	241	29
89	243	27
90	245	24
91	247	21
92	250	18
93	252	16
94	255	13
95	257	10
96	259	8
97	261	5
98	264	2
99	266	0
