iter	RMSE
0	75276.51767
1	73280.84932
2	71594.65501
3	69706.3964
4	68122.66107
5	66422.80629
6	64855.23577
7	63421.52506
8	61960.89433
9	60633.73375
10	59198.49862
11	57898.97575
12	56653.91912
13	55375.92095
14	54267.56003
15	53038.62899
16	51955.4619
17	50909.86577
18	49966.47869
19	49033.27667
20	48069.46133
21	47152.05333
22	46260.30985
23	45504.39978
24	44760.72464
25	43958.55841
26	43234.18157
27	42497.00417
28	41809.64164
29	41096.35973
30	40536.62655
31	39787.88713
32	39206.77659
33	38688.05539
34	38105.97392
35	37652.64178
36	37125.77798
37	36558.04328
38	36072.61715
39	35572.64668
40	35142.2506
41	34612.62829
42	34195.00513
43	33763.10667
44	33416.49669
45	33077.7086
46	32679.00825
47	32282.1906
48	31893.64673
49	31582.79105
50	31204.03761
51	30855.0806
52	30479.77697
53	30187.41359
54	29827.1431
55	29507.88644
56	29216.7746
57	28964.76067
58	28706.72681
59	28446.9071
60	28198.91129
61	27964.56656
62	27726.20689
63	27460.75261
64	27243.32437
65	27019.91712
66	26773.19963
67	26584.28174
68	26374.71374
69	26173.82435
70	25958.16601
71	25767.59749
72	25570.63996
73	25360.12951
74	25181.82197
75	24999.42347
76	24836.9715
77	24683.09407
78	24545.44672
79	24391.23304
80	24223.44659
81	24093.01822
82	23936.13141
83	23819.62003
84	23686.4887
85	23525.55995
86	23418.03528
87	23243.88314
88	23113.12421
89	23042.01151
90	22894.25297
91	22806.9825
92	22670.05306
93	22550.23056
94	22423.52897
95	22312.73851
96	22206.29265
97	22113.59769
98	22064.61109
99	21947.73985
100	21856.44165
101	21770.14228
102	21672.81927
103	21566.19227
104	21488.47344
105	21391.21876
106	21306.309
107	21234.05751
108	21129.86678
109	21004.15547
110	20903.76684
111	20824.39515
112	20738.68825
113	20674.49389
114	20602.7891
115	20527.66205
116	20433.56642
117	20343.17742
118	20274.51363
119	20191.10071
120	20161.731
121	20099.15595
122	20013.84115
123	19949.04539
124	19867.43844
125	19770.6328
126	19671.638
127	19615.19954
128	19542.12742
129	19470.99127
130	19394.24773
131	19346.86104
132	19265.07661
133	19192.00528
134	19132.25163
135	19073.9161
136	19021.44099
137	18984.17251
138	18926.4112
139	18851.90209
140	18799.56084
141	18749.22375
142	18706.65964
143	18679.60118
144	18635.10164
145	18579.74129
146	18563.69444
147	18513.30926
148	18484.92349
149	18448.45048
150	18399.48302
151	18360.4205
152	18311.69552
153	18276.32154
154	18226.8985
155	18176.67652
156	18122.10071
157	18075.35289
158	18022.61763
159	17974.96911
160	17942.01727
161	17904.20915
162	17856.23562
163	17791.38105
164	17741.48844
165	17733.70761
166	17682.82048
167	17654.13288
168	17617.44912
169	17571.04051
170	17543.24658
171	17520.4109
172	17458.25137
173	17439.94031
174	17389.62866
175	17347.78238
176	17300.07384
177	17252.22505
178	17209.45445
179	17181.8909
180	17167.01985
181	17149.90302
182	17102.02922
183	17085.89186
184	17064.86006
