iter	Passed	Remaining
0	8	8328
1	13	6831
2	18	5989
3	22	5559
4	26	5199
5	30	4972
6	33	4789
7	37	4705
8	41	4609
9	45	4535
10	49	4471
11	53	4420
12	57	4399
13	62	4371
14	66	4348
15	70	4315
16	73	4266
17	78	4284
18	82	4250
19	86	4224
20	89	4188
21	93	4161
22	97	4140
23	100	4105
24	104	4082
25	107	4042
26	111	4030
27	115	4001
28	119	3992
29	123	3978
30	127	3975
31	131	3979
32	135	3978
33	139	3974
34	143	3964
35	147	3956
36	151	3937
37	155	3925
38	159	3919
39	162	3910
40	167	3913
41	171	3903
42	175	3898
43	179	3891
44	182	3874
45	186	3867
46	190	3856
47	194	3851
48	197	3840
49	202	3839
50	205	3831
51	209	3821
52	213	3818
53	217	3802
54	220	3787
55	224	3783
56	228	3786
57	233	3798
58	238	3803
59	243	3818
60	249	3834
61	254	3855
62	260	3868
63	265	3882
64	270	3894
65	275	3902
66	281	3920
67	287	3936
68	292	3939
69	297	3950
70	302	3955
71	307	3960
72	311	3957
73	316	3959
74	321	3959
75	325	3959
76	332	3983
77	338	3997
78	343	4004
79	348	4002
80	352	3995
81	357	3998
82	361	3995
83	366	3994
84	374	4028
85	379	4029
86	383	4027
87	388	4029
88	393	4024
89	397	4022
90	402	4017
91	406	4014
92	411	4013
93	416	4012
94	421	4018
95	427	4024
96	432	4025
97	436	4020
98	440	4012
99	445	4006
100	449	4001
101	454	4003
102	459	4000
103	464	3997
104	469	3999
105	473	3997
106	478	3995
107	483	3991
108	487	3988
109	492	3987
110	497	3984
111	502	3983
112	507	3984
113	513	3987
114	517	3984
115	522	3981
116	527	3978
117	532	3980
118	537	3978
119	542	3975
120	546	3970
121	550	3965
122	555	3959
123	560	3956
124	564	3952
125	569	3949
126	573	3942
127	578	3938
128	583	3936
129	587	3930
130	591	3922
131	595	3916
132	599	3904
133	603	3897
134	606	3885
135	609	3874
136	613	3866
137	617	3856
138	621	3847
139	624	3836
140	628	3826
141	631	3815
142	634	3803
143	637	3791
144	641	3780
145	644	3770
146	648	3762
147	651	3751
148	655	3743
149	658	3733
150	662	3724
151	666	3716
152	670	3710
153	673	3700
154	676	3689
155	680	3680
156	683	3672
157	687	3663
158	691	3655
159	694	3645
160	697	3635
161	701	3626
162	705	3621
163	710	3621
164	715	3621
165	721	3623
166	727	3630
167	734	3636
168	740	3641
169	746	3645
170	751	3644
171	756	3643
172	762	3643
173	767	3643
174	772	3642
175	778	3642
176	783	3642
177	788	3642
178	794	3642
179	799	3640
180	804	3639
181	809	3638
182	814	3638
183	820	3637
184	824	3630
185	829	3629
186	834	3628
187	840	3628
188	845	3627
189	850	3625
190	855	3623
191	860	3623
192	864	3616
193	870	3617
194	875	3615
195	881	3614
196	886	3613
197	891	3611
198	896	3609
199	901	3606
200	907	3605
201	912	3603
202	916	3599
203	922	3599
204	927	3596
205	932	3594
206	937	3592
207	942	3590
208	945	3579
209	950	3575
210	955	3573
211	961	3573
212	964	3564
213	970	3562
214	975	3562
215	981	3560
216	986	3559
217	991	3557
218	995	3550
219	1000	3548
220	1006	3546
221	1011	3545
222	1014	3535
223	1020	3533
224	1025	3531
225	1028	3523
226	1034	3521
227	1039	3519
228	1044	3517
229	1049	3514
230	1054	3511
231	1059	3507
232	1065	3506
233	1070	3502
234	1075	3500
235	1079	3494
236	1083	3488
237	1089	3486
238	1094	3484
239	1099	3482
240	1105	3480
241	1110	3478
242	1115	3475
243	1120	3473
244	1126	3472
245	1132	3471
246	1138	3469
247	1143	3468
248	1149	3466
249	1154	3464
250	1160	3461
251	1164	3456
252	1170	3455
253	1173	3447
254	1179	3446
255	1185	3444
256	1190	3441
257	1195	3438
258	1201	3436
259	1206	3433
260	1210	3426
261	1215	3424
262	1220	3421
263	1226	3419
264	1231	3415
265	1236	3412
266	1240	3405
267	1245	3402
268	1250	3398
269	1254	3391
270	1259	3389
271	1265	3385
272	1269	3381
273	1275	3378
274	1280	3374
275	1285	3371
276	1290	3368
277	1296	3366
278	1301	3364
279	1307	3361
280	1312	3357
281	1317	3353
282	1322	3350
283	1328	3348
284	1333	3345
285	1338	3342
286	1344	3340
287	1349	3337
288	1355	3335
289	1361	3332
290	1366	3328
291	1371	3324
292	1376	3321
293	1382	3318
294	1387	3316
295	1392	3312
296	1398	3309
297	1403	3306
298	1409	3303
299	1414	3300
300	1419	3297
301	1425	3295
302	1430	3291
303	1436	3288
304	1442	3286
305	1447	3282
306	1452	3278
307	1458	3275
308	1463	3272
309	1468	3269
310	1474	3266
311	1479	3262
312	1485	3260
313	1491	3259
314	1497	3257
315	1503	3255
316	1509	3251
317	1514	3248
318	1521	3248
319	1528	3247
320	1534	3246
321	1539	3242
322	1545	3238
323	1550	3235
324	1555	3231
325	1561	3227
326	1566	3223
327	1571	3220
328	1577	3216
329	1582	3213
330	1588	3210
331	1594	3208
332	1600	3204
333	1605	3201
334	1611	3198
335	1617	3195
336	1622	3191
337	1627	3188
338	1633	3185
339	1639	3182
340	1645	3179
341	1650	3175
342	1656	3172
343	1661	3169
344	1667	3165
345	1673	3162
346	1678	3159
347	1684	3155
348	1690	3153
349	1696	3149
350	1701	3146
351	1707	3142
352	1713	3139
353	1718	3135
354	1724	3132
355	1729	3128
356	1734	3124
357	1740	3121
358	1746	3117
359	1751	3114
360	1757	3111
361	1763	3108
362	1769	3105
363	1775	3102
364	1781	3099
365	1787	3096
366	1792	3092
367	1798	3088
368	1803	3084
369	1809	3081
370	1815	3077
371	1820	3073
372	1826	3069
373	1831	3065
374	1837	3062
375	1842	3057
376	1848	3053
377	1853	3049
378	1858	3045
379	1863	3040
380	1869	3037
381	1874	3033
382	1880	3029
383	1885	3025
384	1891	3021
385	1896	3017
386	1902	3013
387	1908	3010
388	1913	3005
389	1920	3003
390	1926	3001
391	1933	2999
392	1939	2996
393	1945	2991
394	1950	2987
395	1955	2983
396	1962	2980
397	1967	2975
398	1973	2971
399	1978	2967
400	1983	2962
401	1988	2958
402	1994	2954
403	2000	2951
404	2005	2947
405	2011	2942
406	2016	2938
407	2022	2934
408	2027	2930
409	2033	2926
410	2039	2922
411	2044	2917
412	2049	2912
413	2054	2908
414	2060	2904
415	2066	2900
416	2071	2896
417	2077	2892
418	2082	2888
419	2087	2883
420	2093	2878
421	2098	2874
422	2103	2869
423	2109	2865
424	2114	2861
425	2120	2856
426	2125	2851
427	2130	2847
428	2135	2842
429	2140	2837
430	2146	2833
431	2151	2828
432	2157	2824
433	2162	2820
434	2168	2817
435	2174	2812
436	2179	2807
437	2184	2803
438	2190	2799
439	2195	2794
440	2201	2790
441	2207	2786
442	2212	2782
443	2218	2777
444	2223	2773
445	2229	2768
446	2234	2763
447	2239	2759
448	2244	2754
449	2250	2750
450	2255	2745
451	2260	2740
452	2265	2735
453	2271	2731
454	2276	2726
455	2281	2722
456	2286	2717
457	2291	2712
458	2296	2707
459	2302	2702
460	2307	2697
461	2312	2693
462	2319	2690
463	2326	2687
464	2332	2683
465	2337	2678
466	2343	2674
467	2348	2669
468	2353	2664
469	2358	2660
470	2364	2655
471	2370	2651
472	2375	2646
473	2380	2641
474	2385	2637
475	2391	2632
476	2396	2628
477	2402	2623
478	2407	2618
479	2413	2614
480	2418	2609
481	2424	2605
482	2429	2600
483	2435	2596
484	2441	2592
485	2447	2588
486	2452	2583
487	2458	2579
488	2464	2575
489	2469	2570
490	2475	2565
491	2480	2560
492	2485	2556
493	2491	2551
494	2496	2546
495	2502	2542
496	2507	2537
497	2513	2533
498	2519	2529
499	2524	2524
500	2529	2519
501	2534	2514
502	2540	2509
503	2545	2504
504	2550	2500
505	2555	2495
506	2561	2490
507	2566	2485
508	2571	2481
509	2577	2476
510	2582	2471
511	2588	2466
